,Power,,False Detections,
Source,Estimate,95% CI,Estimate,95% CI
Coefficient of Variation,-0.65,[-0.96 : -0.34],-0.20,[-0.48 : 0.09]
Number of sites,0.98,[0.66 : 1.30],0.36,[0.03 : 0.68]
Spatial Synchrony,0.06,[-0.23 : 0.35],-0.24,[-0.53 : 0.05]
Serial Correlation,-0.51,[-0.85 : -0.16],0.25,[-0.05 : 0.56]
Number of Years,0.08,[-0.20 : 0.36],-0.02,[-0.35 : 0.31]
